,ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION,YEAR,total_pop,medhhinc,share_BA+,a35to64_share,metro_GDP,Cook_U3_ann_avg,which_ssa,in_ssa,num_renewals
53,1847540-20090116,1940503,89020,45,"FEDEX OFFICE AND PRINT SERVICES, INC.","FEDEX OFFICE AND PRINT SVCS, INC.",2301 S DR MARTIN LUTHER KING JR DR  SOUTH BL,CHICAGO,IL,60616.0,4.0,3.0,4-3,1.0,1010,Limited Business License,,,1847540.0,RENEW,,11/14/2008,01/08/2009,N,01/16/2009,01/15/2011,01/08/2009,01/22/2009,AAI,,,,,,2009,,,,,,,0.0,0.0,6.0
54,9946-20050516,1580937,4535,8,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8409,2101 E 71ST ST,CHICAGO,IL,60649.0,5.0,54.0,5-54,3.0,1010,Limited Business License,,,9946.0,RENEW,,03/23/2005,04/21/2005,N,05/16/2005,05/15/2006,04/21/2005,04/22/2005,AAI,,42.0,41.765990001,-87.57378733700001,"(41.765990001140594, -87.57378733665412)",2005,1486.0,32554.0,16.1,46.00000000000001,534392.2,6.400000000000001,42.0,1.0,8.0
55,1743433-20090816,1978464,309167,1,"HANDY STANLEY, INC.",HANDY STANLEY,3657 N LUNA AVE 1,CHICAGO,IL,60641.0,36.0,29.0,36-29,16.0,1011,Home Repair,,,1743433.0,RENEW,,06/15/2009,08/05/2009,N,08/16/2009,08/15/2011,08/05/2009,08/06/2009,AAI,,,41.947574001999996,-87.76543680399999,"(41.94757400200051, -87.76543680434608)",2009,4701.0,56694.0,11.3,34.5,516755.6,10.55,0.0,0.0,2.0
56,14936-20150316,2376212,85330,1,COMPLETE BUILDING MAINTENANCE INC,COMPLETE BLDG MAINTENANCE INC,702  WESTERN AVE,LOMBARD,IL,60148.0,,,,,1010,Limited Business License,,,14936.0,RENEW,,01/16/2015,02/12/2015,N,03/16/2015,03/15/2017,02/12/2015,02/13/2015,AAI,,,,,,2015,,,,,,,0.0,0.0,12.0
57,1445166-20150316,2375000,4535,65,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER # 8503,1741 E 95TH ST,CHICAGO,IL,60617.0,7.0,36.0,7-36,4.0,1010,Limited Business License,,,1445166.0,RENEW,,01/16/2015,02/28/2015,N,03/16/2015,03/15/2017,02/28/2015,04/01/2015,AAI,,,41.722287096,-87.58091186700001,"(41.72228709577549, -87.58091186659415)",2015,5260.0,30625.0,15.3,37.7,566618.9,6.2333333333333325,0.0,0.0,10.0
58,54867-20040816,1410529,18057,1,"EMBELEZAR, LLC",EMBELEZAR,1639 N DAMEN AVE,CHICAGO,IL,60647.0,2.0,36.0,2-36,14.0,1010,Limited Business License,,,54867.0,RENEW,,06/30/2004,07/21/2004,N,08/16/2004,11/15/2004,07/21/2004,10/01/2004,AAC,10/27/2004,33.0,41.911669888,-87.677344498,"(41.91166988833098, -87.67734449798701)",2004,1145.0,61705.0,29.432314410480352,33.589462129527995,523290.0,6.833333333333332,33.0,1.0,3.0
59,9961-20020516,1231229,4535,22,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #7028,800 N KEDZIE AVE  215,CHICAGO,IL,60651.0,27.0,15.0,27-15,11.0,1010,Limited Business License,,,9961.0,RENEW,,03/27/2002,05/22/2002,N,05/16/2002,05/15/2003,05/23/2002,06/06/2002,AAI,,,41.895615314000004,-87.706705325,"(41.89561531354531, -87.70670532510552)",2002,2960.0,29777.0,3.006756756756757,59.5797280593325,503971.1,7.6416666666666675,0.0,0.0,1.0
60,44261-19960216,205258,55668,1,J C THOMAS CO INC,"J.C.THOMAS CO.,INC.",261 N WEST AVE  1ST,ELMHURST,IL,60126.0,,,,,1010,Limited Business License,,,44261.0,ISSUE,,06/20/2000,,N,02/16/1996,02/15/1997,12/22/2003,04/12/2006,AAI,,,,,,2006,,,,,,,0.0,0.0,0.0
61,44262-19960216,205263,55668,1,J C THOMAS CO INC,"J.C.THOMAS CO.,INC.",261 N WEST AVE  1ST,ELMHURST,IL,60126.0,,,,,1011,Home Repair,,,44262.0,ISSUE,,06/20/2000,,N,02/16/1996,02/15/1997,12/22/2003,04/12/2006,AAI,,,,,,2006,,,,,,,0.0,0.0,0.0
62,23031-20150416,2381380,63414,12,STARBUCKS CORPORATION,STARBUCKS COFFEE #216,401 E ONTARIO ST  1ST,CHICAGO,IL,60611.0,42.0,65.0,42-65,18.0,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,23031.0,RENEW,,02/15/2015,03/16/2015,N,04/16/2015,04/15/2017,03/16/2015,03/18/2015,AAC,08/31/2016,,41.893341295999996,-87.617589151,"(41.893341296312244, -87.61758915120579)",2015,5048.0,109801.0,84.0,36.4,566618.9,6.2333333333333325,0.0,0.0,9.0
63,9940-20090316,1949087,4535,2,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #7536,7601 S CICERO AVE  1ST,CHICAGO,IL,60652.0,18.0,22.0,18-22,8.0,1010,Limited Business License,,,9940.0,RENEW,,01/15/2009,03/19/2009,N,03/16/2009,03/15/2011,03/19/2009,03/20/2009,AAI,,,41.754660124000004,-87.741384759,"(41.75466012439374, -87.74138475860521)",2009,4443.0,50924.0,15.1,26.3,516755.6,10.55,0.0,0.0,12.0
64,1444282-20130316,2225815,4535,63,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER # 6972,6465 W DIVERSEY AVE,CHICAGO,IL,60707.0,36.0,52.0,36-52,25.0,1010,Limited Business License,,,1444282.0,RENEW,,01/17/2013,03/26/2013,N,03/16/2013,03/15/2015,03/26/2013,04/26/2013,AAI,,,41.930847334,-87.788070456,"(41.930847333658065, -87.78807045587668)",2013,3595.0,56141.0,9.2,40.4,543675.4,9.624999999999998,0.0,0.0,8.0
65,9948-20060516,1683516,4535,10,"FOOT LOCKER RETAIL, INC.",FOOTLOCKER #10403,2917 W ADDISON ST  1,CHICAGO,IL,60618.0,33.0,4.0,33-4,17.0,1010,Limited Business License,,,9948.0,RENEW,,03/27/2006,05/17/2006,N,05/16/2006,05/15/2007,05/17/2006,05/18/2006,AAI,,,41.946542704,-87.701172736,"(41.94654270387638, -87.70117273586474)",2006,4660.0,58205.0,17.9,32.4,545932.0,4.866666666666666,0.0,0.0,10.0
66,2032678-20161016,2486372,353149,1,TONY TRAN,TIP TOP #3 NAIL SALON,455 E 79TH ST 1,CHICAGO,IL,60619.0,6.0,57.0,6-57,6.0,1010,Limited Business License,895,Nail Services,2032678.0,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,51.0,41.751045559,-87.61272726899999,"(41.75104555942071, -87.61272726943835)",2016,4805.0,32143.0,19.4,36.8,574603.1,6.041666666666668,51.0,1.0,5.0
67,9954-20090316,1949094,4535,16,"FOOT LOCKER RETAIL, INC.",KIDS FT LOC #6768,7601 S CICERO AVE  SP 50,CHICAGO,IL,60652.0,18.0,22.0,18-22,8.0,1010,Limited Business License,,,9954.0,RENEW,,01/15/2009,03/19/2009,N,03/16/2009,03/15/2011,03/19/2009,03/20/2009,AAI,,,41.754660124000004,-87.741384759,"(41.75466012439374, -87.74138475860521)",2009,4443.0,50924.0,15.1,26.3,516755.6,10.55,0.0,0.0,12.0
68,9966-20030516,1340377,4535,27,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8754,1253 N MILWAUKEE AVE,CHICAGO,IL,60622.0,1.0,49.0,1-49,14.0,1010,Limited Business License,,,9966.0,RENEW,,03/25/2003,05/16/2003,N,05/16/2003,05/15/2004,05/16/2003,05/16/2003,AAI,,33.0,41.904588873,-87.668173493,"(41.90458887299714, -87.66817349345096)",2003,3095.0,55094.0,19.418416801292405,36.003861003861005,510351.3,7.458333333333332,33.0,1.0,10.0
69,1197333-20110316,2074861,4535,52,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8511,2660 E 79TH ST,CHICAGO,IL,60649.0,7.0,3.0,7-3,4.0,1010,Limited Business License,,,1197333.0,RENEW,,01/14/2011,03/28/2011,N,03/16/2011,03/15/2013,03/28/2011,06/07/2011,AAI,,49.0,41.751937934000004,-87.55908694600001,"(41.75193793360491, -87.55908694571022)",2011,3421.0,22234.0,6.6,37.7,529859.9,10.441666666666666,49.0,1.0,8.0
70,1964088-20161016,2486172,342076,1,EUNICE K. BAI,BURNHAM CLEANERS,720 S CLARK ST 1ST,CHICAGO,IL,60605.0,4.0,1.0,4-1,1.0,1010,Limited Business License,,,1964088.0,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.872956767,-87.630776976,"(41.87295676740757, -87.63077697619192)",2016,8542.0,84347.0,78.7,33.9,574603.1,6.041666666666668,0.0,0.0,5.0
71,59271-19970216,264943,58310,1,ANDRA TUBBS,TUBBS SCRAP IRON METAL,516 W 136 PL  1,RIVERDALE,IL,60827.0,,,,,1431,Junk Peddler,,,59271.0,ISSUE,,06/20/2000,,N,02/16/1997,02/15/1998,,04/12/2006,AAI,,,,,,2006,,,,,,,0.0,0.0,0.0
72,9950-20130316,2225800,4535,12,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8244,5401 S WENTWORTH AVE,CHICAGO,IL,60609.0,3.0,8.0,3-8,2.0,1010,Limited Business License,,,9950.0,RENEW,,01/17/2013,03/26/2013,N,03/16/2013,03/15/2015,03/26/2013,04/26/2013,AAI,,,41.796234875,-87.63040492399999,"(41.796234875219376, -87.63040492438661)",2013,950.0,18485.0,16.0,40.6,543675.4,9.624999999999998,0.0,0.0,12.0
73,1093544-20060516,1683527,4535,47,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER,9059 S COMMERCIAL AVE,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1093544.0,RENEW,,03/27/2006,05/17/2006,N,05/16/2006,05/15/2007,05/17/2006,05/18/2006,AAI,,5.0,41.730169049000004,-87.55111259,"(41.730169048795666, -87.55111259003853)",2006,2601.0,30965.0,3.5,24.7,545932.0,4.866666666666666,5.0,1.0,6.0
74,9954-20030516,1340366,4535,16,"FOOT LOCKER RETAIL, INC.",KIDS FT LOC #6768,7601 S CICERO AVE  SP 50,CHICAGO,IL,60652.0,18.0,22.0,18-22,8.0,1010,Limited Business License,,,9954.0,RENEW,,03/25/2003,05/16/2003,N,05/16/2003,05/15/2004,05/16/2003,05/16/2003,AAI,,,41.754660124000004,-87.741384759,"(41.75466012439374, -87.74138475860521)",2003,3586.0,47656.0,7.975460122699388,57.297063903281526,510351.3,7.458333333333332,0.0,0.0,12.0
75,21552-20030216,1317151,52355,1,THERM FLO INC.,THERM-FLO-INC,251  HOLBROOK  1ST,WHEELING,IL,60090.0,,,,,1010,Limited Business License,,,21552.0,RENEW,,12/17/2002,01/06/2003,N,02/16/2003,02/15/2004,01/06/2003,01/07/2003,AAI,,,,,,2003,,,,,,,0.0,0.0,9.0
76,1197333-20060516,1683530,4535,52,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8511,2660 E 79TH ST,CHICAGO,IL,60649.0,7.0,3.0,7-3,4.0,1010,Limited Business License,,,1197333.0,RENEW,,03/27/2006,05/17/2006,N,05/16/2006,05/15/2007,05/17/2006,05/18/2006,AAI,,49.0,41.751937934000004,-87.55908694600001,"(41.75193793360491, -87.55908694571022)",2006,7523.0,18228.0,11.1,23.4,545932.0,4.866666666666666,49.0,1.0,8.0
77,4364-20161016,2484367,3218,1,NAYLOR PIPE CO,NAYLOR PIPE CO,1230 E 92ND ST,CHICAGO,IL,60619.0,8.0,33.0,8-33,4.0,1010,Limited Business License,,,4364.0,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.727795923,-87.593768467,"(41.72779592270078, -87.59376846742875)",2016,2254.0,24821.0,14.1,34.7,574603.1,6.041666666666668,0.0,0.0,12.0
78,1197333-20020516,1231238,4535,52,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8511,2660 E 79TH ST,CHICAGO,IL,60649.0,7.0,3.0,7-3,4.0,1010,Limited Business License,,,1197333.0,RENEW,,03/27/2002,05/22/2002,N,05/16/2002,05/15/2003,05/23/2002,06/12/2002,AAI,,49.0,41.751937934000004,-87.55908694600001,"(41.75193793360491, -87.55908694571022)",2002,9785.0,20167.0,3.515585079202862,62.01243640474845,503971.1,7.6416666666666675,49.0,1.0,8.0
79,2488383-20160831,2488383,409628,1,"OUR CELLS, DNA & MIND, LLC","OUR CELLS, DNA & MIND, LLC",222 W MERCHANDISE MART PLZ 12TH 1225,CHICAGO,IL,60654.0,42.0,14.0,42-14,18.0,1010,Limited Business License,602,Administrative Commercial Office,2488383.0,ISSUE,08/31/2016,08/31/2016,08/31/2016,N,08/31/2016,09/15/2018,08/31/2016,08/31/2016,AAI,,,41.888074281,-87.63495520299999,"(41.8880742810662, -87.63495520292739)",2016,8960.0,116705.0,89.8,40.39999999999999,574603.1,6.041666666666668,0.0,0.0,0.0
80,9957-20060516,1683519,4535,18,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #7029,3900 W MADISON ST,CHICAGO,IL,60624.0,28.0,37.0,28-37,11.0,1010,Limited Business License,,,9957.0,RENEW,,03/27/2006,05/17/2006,N,05/16/2006,05/15/2007,05/17/2006,05/18/2006,AAI,,,41.880865156,-87.723375968,"(41.880865155903734, -87.7233759677506)",2006,1432.0,9660.0,6.4,16.2,545932.0,4.866666666666666,0.0,0.0,12.0
81,50776-20040216,1458339,56730,1,FREDERICK MCGEE,MCGEE'S REMODELING,1009 S 11TH AVE  1,MAYWOOD,IL,60153.0,,,,,1011,Home Repair,,,50776.0,RENEW,,12/15/2003,02/26/2004,N,02/16/2004,02/15/2005,12/22/2003,11/24/2008,AAI,,,,,,2008,,,,,,,0.0,0.0,4.0
82,1093545-20090316,1949101,4535,44,"FOOT LOCKER RETAIL, INC.",FOOTLOCKER #8821,1340 E 47TH ST  1,CHICAGO,IL,60653.0,4.0,10.0,4-10,2.0,1010,Limited Business License,,,1093545.0,RENEW,,01/15/2009,03/19/2009,N,03/16/2009,03/15/2011,03/19/2009,03/20/2009,AAI,,47.0,41.809788731,-87.59346433700001,"(41.809788730504245, -87.59346433710617)",2009,1416.0,34698.0,17.8,32.1,516755.6,10.55,47.0,1.0,10.0
83,21552-20080516,1896091,52355,1,THERM FLO INC.,THERM-FLO-INC,251  HOLBROOK  1ST,WHEELING,IL,60090.0,,,,,1010,Limited Business License,,,21552.0,RENEW,,03/24/2008,05/22/2008,N,05/16/2008,05/15/2010,05/22/2008,05/23/2008,AAI,,,,,,2008,,,,,,,0.0,0.0,9.0
84,9954-20050516,1580941,4535,16,"FOOT LOCKER RETAIL, INC.",KIDS FT LOC #6768,7601 S CICERO AVE  SP 50,CHICAGO,IL,60652.0,18.0,22.0,18-22,8.0,1010,Limited Business License,,,9954.0,RENEW,,03/23/2005,04/21/2005,N,05/16/2005,05/15/2006,04/21/2005,04/22/2005,AAI,,,41.754660124000004,-87.741384759,"(41.75466012439374, -87.74138475860521)",2005,4443.0,50924.0,15.1,26.3,534392.2,6.400000000000001,0.0,0.0,12.0
85,1495390-20080416,1890989,278253,1,"MITSUBISHI ELECTRIC US, INC.","MITSUBISHI ELECTRIC & ELECTRONICS USA, INC.",5218 S DANSHER RD,COUNTRY SIDE,IL,60525.0,,,,,1010,Limited Business License,,,1495390.0,RENEW,,02/19/2008,04/01/2008,N,04/16/2008,04/15/2010,04/01/2008,04/02/2008,AAI,,,,,,2008,,,,,,,0.0,0.0,9.0
86,1495390-20050216,1571342,278253,1,"MITSUBISHI ELECTRIC US, INC.","MITSUBISHI ELECTRIC & ELECTRONICS USA, INC.",5218 S DANSHER RD,COUNTRY SIDE,IL,60525.0,,,,,1010,Limited Business License,,,1495390.0,RENEW,,12/20/2004,01/19/2005,N,02/16/2005,02/15/2006,01/19/2005,01/20/2005,AAI,,,,,,2005,,,,,,,0.0,0.0,9.0
87,1225884-20090316,1949108,4535,55,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8520,1731 W HOWARD ST,CHICAGO,IL,60626.0,49.0,5.0,49-5,24.0,1010,Limited Business License,,,1225884.0,RENEW,,01/15/2009,03/19/2009,N,03/16/2009,03/15/2011,03/19/2009,03/20/2009,AAI,,19.0,42.019283176,-87.67386519,"(42.01928317622851, -87.67386518978948)",2009,8830.0,35932.0,21.5,30.4,516755.6,10.55,19.0,1.0,8.0
88,1093544-20020516,1231237,4535,47,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER,9059 S COMMERCIAL AVE,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1093544.0,RENEW,,03/27/2002,,N,05/16/2002,05/15/2003,05/23/2002,06/06/2002,AAI,,5.0,41.730169049000004,-87.55111259,"(41.730169048795666, -87.55111259003853)",2002,2518.0,18542.0,3.1374106433677524,59.64642582628748,503971.1,7.6416666666666675,5.0,1.0,6.0
89,2380027-20160916,2477684,12322,51,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",222 S RIVERSIDE PLZ 21 2110,CHICAGO,IL,60606.0,42.0,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2380027.0,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.878581561,-87.638578668,"(41.87858156072147, -87.6385786681057)",2016,5719.0,88708.0,91.5,31.7,574603.1,6.041666666666668,0.0,0.0,2.0
90,9950-20110316,2074851,4535,12,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8244,5401 S WENTWORTH AVE,CHICAGO,IL,60609.0,3.0,8.0,3-8,2.0,1010,Limited Business License,,,9950.0,RENEW,,01/14/2011,03/28/2011,N,03/16/2011,03/15/2013,03/28/2011,06/07/2011,AAI,,,41.796234875,-87.63040492399999,"(41.796234875219376, -87.63040492438661)",2011,950.0,18485.0,16.0,40.6,529859.9,10.441666666666666,0.0,0.0,12.0
91,1095908-20160916,2478887,208399,1,GENERAL GROWTH MANAGEMENT INC.,GENERAL GROWTH MANAGEMENT INC,110 N WACKER DR  R-21,CHICAGO,IL,60606.0,42.0,9.0,42-9,1.0,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1095908.0,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.883498243000005,-87.63720027299999,"(41.88349824310264, -87.63720027259416)",2016,6760.0,90489.0,74.0,31.3,574603.1,6.041666666666668,0.0,0.0,13.0
92,9954-20020516,1231222,4535,16,"FOOT LOCKER RETAIL, INC.",KIDS FT LOC #6768,7601 S CICERO AVE  SP 50,CHICAGO,IL,60652.0,18.0,22.0,18-22,8.0,1010,Limited Business License,,,9954.0,RENEW,,03/27/2002,05/22/2002,N,05/16/2002,05/15/2003,05/23/2002,06/06/2002,AAI,,,41.754660124000004,-87.741384759,"(41.75466012439374, -87.74138475860521)",2002,3586.0,47656.0,7.975460122699388,57.297063903281526,503971.1,7.6416666666666675,0.0,0.0,12.0
93,2054389-20160916,2481544,356087,1,"DAILY PLANET PRODUCTIONS, LTD.","DAILY PLANET PRODUCTIONS, LTD.",720 N FRANKLIN ST 5TH 500,CHICAGO,IL,60654.0,42.0,68.0,42-68,18.0,1010,Limited Business License,,,2054389.0,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.895532419,-87.635825826,"(41.89553241941632, -87.63582582624329)",2016,8960.0,116705.0,89.8,40.39999999999999,574603.1,6.041666666666668,0.0,0.0,4.0
94,2314918-20160916,2477681,12322,48,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), LP",1300 N N BRANCH CANAL  1ST FLOOR,CHICAGO,IL,,27.0,,27-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2314918.0,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.905477725,-87.65119742200001,"(41.9054777251061, -87.65119742208267)",2016,3058.0,92227.0,69.1,32.4,574603.1,6.041666666666668,0.0,0.0,3.0
95,2147568-20120427,2147568,63414,154,STARBUCKS CORPORATION,STARBUCKS COFFEE #22949,200 N MICHIGAN AVE 1 1,CHICAGO,IL,60604.0,42.0,9.0,42-9,1.0,1010,Limited Business License,,,2147568.0,ISSUE,04/06/2012,04/13/2012,04/27/2012,N,04/27/2012,04/15/2013,04/27/2012,04/27/2012,AAC,08/31/2012,,41.885801545999996,-87.624659771,"(41.885801546318, -87.62465977106316)",2012,10534.0,103318.0,81.0,43.7,545391.7,9.625,0.0,0.0,0.0
96,1444282-20090316,1949114,4535,63,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER # 6972,6465 W DIVERSEY AVE,CHICAGO,IL,60707.0,36.0,52.0,36-52,25.0,1010,Limited Business License,,,1444282.0,RENEW,,01/15/2009,03/19/2009,N,03/16/2009,03/15/2011,03/19/2009,03/20/2009,AAI,,,41.930847334,-87.788070456,"(41.930847333658065, -87.78807045587668)",2009,2691.0,68817.0,12.6,32.7,516755.6,10.55,0.0,0.0,8.0
97,21552-20060216,1659680,52355,1,THERM FLO INC.,THERM-FLO-INC,251  HOLBROOK  1ST,WHEELING,IL,60090.0,,,,,1010,Limited Business License,,,21552.0,RENEW,,12/21/2005,01/27/2006,N,02/16/2006,02/15/2007,01/27/2006,01/30/2006,AAI,,,,,,2006,,,,,,,0.0,0.0,9.0
98,1800239-20160116,2436024,313802,1,"ROCKET AUTO SALES, INC.","ROCKET AUTO SALES, INC.",5552 S ARCHER AVE,CHICAGO,IL,60638.0,14.0,34.0,14-34,8.0,1010,Limited Business License,,,1800239.0,RENEW,,11/15/2015,12/19/2015,N,01/16/2016,01/15/2018,12/19/2015,04/07/2016,AAI,,,41.797940478,-87.748635153,"(41.79794047813648, -87.74863515306765)",2016,1833.0,45417.0,13.5,42.3,574603.1,6.041666666666668,0.0,0.0,6.0
